nl_bookI_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0	   616.971491097	    98.144920622	     0.567691346
nl_bookI_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0	  1656.182117797	   128.544100202	     8.393602978
nl_bookI_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0_init_53	   520.361310658	    88.643809093	     0.618360904
nl_bookI_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_53	  1424.850160789	   113.239579297	     9.270311177
nl_bookI_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0_init_106	   390.468140003	    79.046249757	     0.920626041
nl_bookI_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0	  1210.791867699	    99.619721807	     4.194052080
nl_bookI_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_106	  1283.476357914	   104.316567872	    10.425459094
nl_bookI_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0_init_159	   417.922609339	    79.367546784	     1.739247721
nl_bookI_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_159	  1220.742736300	    99.639910220	    12.719748671
nl_bookI_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0_init_53	  1089.852379526	   101.312486350	     4.417173552
nl_bookI_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_212	   772.399821934	    87.037054972	    12.906540100
nl_bookI_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0_init_212	   395.798244321	    81.073534709	     1.250181152
nl_bookI_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0	   341.641906225	    71.217120817	     0.560383077
nl_bookI_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0_init_106	   762.751464176	    86.331778784	     4.093710953
nl_bookI_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_265	   987.196211383	    84.470348820	    44.134337157
nl_bookI_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0_init_265	   607.514690494	    86.733854354	     2.226430926
nl_bookI_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0_init_159	   840.572775371	    97.672807300	     3.967930318
nl_bookI_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_318	   521.648397552	    81.999276952	    56.629977870
nl_bookI_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0_init_53	   306.715295571	    71.564387626	     0.591338138
nl_bookI_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0_init_318	   408.275627700	    80.644443988	     2.930101708
nl_bookI_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0_init_212	  1039.119020065	    98.370904576	     5.197934291
nl_bookI_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_371	  1127.162178694	   100.914359782	    14.045124777
nl_bookI_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0_init_371	   579.481307435	    85.661506333	     3.908106066
nl_bookI_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_424	  1891.539030483	   109.996475494	     3.451996402
nl_bookI_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0_init_265	  1056.559995222	    97.225865498	     7.740967634
