nl_bookI_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1	  1588.414470560	   132.279899810	     8.393431153
nl_bookI_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_53	  1452.467015113	   123.253765054	     9.263608705
nl_bookI_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_106	  1522.089780338	   115.955258888	    10.352352589
nl_bookI_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0	  2302.665680692	   117.109440957	    18.858912433
nl_bookI_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_159	  1408.488170382	   108.251970599	    12.993415508
nl_bookI_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_53	  2062.603017155	   118.565114181	    20.784791688
nl_bookI_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_212	  1547.062850282	   113.490819621	    18.407038669
nl_bookI_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_106	  2039.056091584	   120.094297194	    18.821419540
nl_bookI_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_265	  1919.103578142	   113.937863004	    17.274233275
nl_bookI_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_159	  1837.518630444	   112.812788589	    17.337246620
nl_bookI_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_318	  1589.763136932	   104.229580507	    21.529000279
nl_bookI_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_371	  1675.362136631	   105.388744298	    24.444503647
nl_bookI_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_212	  1975.728903565	   117.104642821	     8.466846031
nl_bookI_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_424	  1975.930484749	   107.071508089	     3.477965178
nl_bookI_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_265	  2280.768109297	   109.221600265	     8.961110657
nl_bookI_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_477	  2954.473034759	   129.645138145	     0.177465305
nl_bookI_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_318	  1664.363408514	   100.902826947	    11.066120595
nl_bookI_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1	  1466.554711947	   113.846561220	     5.854497475	 2
nl_bookI_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_371	  1664.556284503	    92.516613046	    18.939900860
nl_bookI_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_424	  1862.143010373	    96.951881342	     3.677943647
nl_bookI_s3	 fa	 ssim	 c8	 1	 falmC1_ssim50r30i4uReinitGT_c8_1	   130.918635671	    52.965410147	     0.573958398
nl_bookII_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1	  1162.114404154	    99.853289110	     0.821882773
