nl_bookI_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0	  1136.546909237	   138.301910345	    77.940773375
nl_bookI_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_53	  1006.388638145	   135.645203731	    26.723640133
nl_bookI_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_106	   686.289365104	   122.351418130	    18.782492732
nl_bookI_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0	   807.554121802	   116.330680837	    28.856633251
nl_bookI_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_159	  1055.577406449	   113.747386690	    66.364784785
nl_bookI_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_212	   696.712026542	   122.570555172	    63.914314467
nl_bookI_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_53	   956.761037850	   122.363876527	    48.673655962
nl_bookI_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_265	   794.136230736	   123.444439979	    17.205768665
nl_bookI_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_318	   891.538799827	   132.932229485	    92.105209659
nl_bookI_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_106	   917.024482970	   133.795713534	    20.171348187
nl_bookI_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_371	   659.568236695	   118.405140267	    10.259424140
nl_bookI_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_424	   796.944414336	   111.502825083	     6.957174451
nl_bookI_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_159	   704.419753720	   112.617792206	    61.430533266
nl_bookI_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_477	   651.493369633	   113.571849555	     7.173055829
nl_bookI_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_212	   857.037615469	   119.006108744	    11.798579413
nl_bookI_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_265	   831.571576024	   119.810716538	    12.637414261
nl_bookI_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0	   695.210134580	   120.134322247	     6.610429985	 4
nl_bookI_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_318	   671.762376388	   102.888073234	    20.590477483
nl_bookII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0	   776.935952852	   119.750225249	     5.424254424
nl_bookII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_57	   698.688359995	   120.176325000	     6.484336060
nl_bookI_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_371	   901.606861425	   134.328518289	    10.714387815
nl_bookII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_114	   742.351364638	   124.118073588	     6.384138816
nl_bookI_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_424	   749.635837435	   116.622656969	     5.377402934
nl_bookII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_171	   773.885487911	   126.397485408	     9.625109094
nl_bookI_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_477	   769.970046970	    96.245080498	     7.082789001
nl_bookII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_228	   780.978407708	   125.283988849	     6.005468581
nl_bookII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_285	   791.729799953	   121.060879863	     6.447421291
nl_bookII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_342	   726.966069947	   126.222422554	     5.098085478
nl_bookII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_399	   680.343963499	   115.292066286	     7.263120388
nl_bookII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_456	   707.256181199	   118.548101296	     6.627381081
nl_bookII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_513	   659.803034597	   120.553864121	     6.362715050
nl_bookI_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0	   793.183155269	   115.370917134	     6.438834279	 4
nl_bookII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0	   728.049908664	   123.264092588	     6.006373395	 0
nl_bookIII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0	   869.636156174	   107.309072881	    53.303808709
nl_bookII_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0	   707.922257692	   113.018601358	     7.994105611
nl_bookIII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_65	   669.186983408	   118.072090492	    28.788583941
nl_bookIII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_130	   753.108903365	   109.494440786	    37.668148402
