nl_bookI_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0	   291.745142304	   102.595786373	     6.755951900
nl_bookI_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0_init_53	   255.179413198	    94.378034797	    42.119210243
nl_bookI_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0_init_106	   223.257079098	    83.209180568	    14.206314248
nl_bookI_s3	 nn	 riu	 8	 1	 nnkmn2k5ds74s75s76s77s78_sriu50r1e3a1i4u_8_0	    83.041010179	    50.529571939	    25.111246547
nl_bookI_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0_init_159	   220.196380438	    85.558913288	    10.421645010
nl_bookI_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0_init_212	   198.639209587	    80.812858322	     3.974574855
nl_bookI_s3	 nn	 riu	 8	 1	 nnkmn2k5ds74s75s76s77s78_sriu50r1e3a1i4u_8_0_init_53	    77.611825450	    46.766819004	    26.334793548
nl_bookI_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0_init_265	   158.660524388	    62.488806555	    14.788708895
nl_bookI_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0	   911.124268827	    99.628160623	    24.376812205
nl_bookI_s3	 nn	 spss	 8	 1	 nnkmn2k5ds74s75s76s77s78_sspss50r1i4u_8_0	    53.029638671	    36.367402274	    96.954808921
nl_bookI_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0_init_53	   814.442245327	    98.667711157	    18.867514453
nl_bookI_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0_init_318	   165.035152406	    66.276846056	    15.439151828
nl_bookI_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0_init_371	   111.186331933	    50.197340560	    13.450063951
nl_bookI_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0	   728.255495968	    91.801425631	     7.527597263
nl_bookI_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0_init_106	   782.687138590	    87.034042286	    24.365844166
nl_bookI_s3	 nn	 riu	 8	 1	 nnkmn2k5ds74s75s76s77s78_sriu50r1e3a1i4u_8_0_init_106	    69.251987785	    41.859248934	    39.764732664
nl_bookI_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0_init_424	   142.131183324	    58.715941041	     3.046974071
nl_bookI_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0_init_159	   781.382617568	    90.804302211	    49.817034705
nl_bookI_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0_init_53	   769.897239025	    93.606981775	    18.856379761
nl_bookI_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0_init_477	   152.871371558	    60.140201273	     1.475469290
nl_bookI_s3	 nn	 spss	 8	 1	 nnkmn2k5ds74s75s76s77s78_sspss50r1i4u_8_0_init_53	    47.992796421	    32.726233892	   172.333549766
nl_bookI_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0_init_212	   639.566037391	    84.503049747	    22.469446042
nl_bookI_s3	 nn	 riu	 8	 1	 nnkmn2k5ds74s75s76s77s78_sriu50r1e3a1i4u_8_0_init_159	    65.301733631	    39.604399326	     4.364170780
