nl_bookI_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0	   446.585186011	   117.592482810	    10.924652789
nl_bookI_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_53	   449.905813702	   122.661172264	    29.728500714
nl_bookI_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_106	   420.912337117	   115.055783047	    11.225228489
nl_bookI_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0	   205.029604548	    81.628076182	    10.943115245
nl_bookI_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_159	   313.824867598	    88.168184062	    10.759786231
nl_bookI_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_212	   360.368833456	    99.824224595	    15.820422935
nl_bookI_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_53	   223.359911965	    88.428156591	    21.671313987
nl_bookI_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_265	   369.701305062	   104.369989679	     6.469863890
nl_bookI_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_106	   206.367472719	    84.957987132	     6.063343672
nl_bookI_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_318	   343.505708393	   102.617021754	     8.774518534
nl_bookI_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_371	   358.496274085	   102.728006564	     7.550255283
nl_bookI_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_159	   188.641461700	    72.495654677	    18.170459095
nl_bookI_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_424	   370.012631670	   107.587891603	     8.863977886
nl_bookI_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_477	   306.533633943	    94.824896822	    29.916560753
nl_bookI_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_212	   221.761491410	    89.314247008	     6.676963961
nl_bookI_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_265	   201.399705618	    83.861051616	     8.716068208
nl_bookI_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0	   342.038599329	   100.032477655	     6.658909770	 4
nl_bookI_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_318	   183.282472504	    73.245338580	     8.811454312
nl_bookI_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_371	   177.414204379	    75.097257556	     9.134975301
nl_bookII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0	   318.991230448	    94.772547625	     5.904740463
nl_bookI_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_424	   147.234940530	    63.122014368	     7.884037846
nl_bookII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_57	   336.813165681	   104.232817871	     6.114716168
nl_bookI_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_477	   157.568689641	    66.513197275	     5.390141608
nl_bookII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_114	   276.825502076	    84.027050016	     4.823147491
nl_bookI_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0	   172.201214499	    74.881270125	     4.837175113	 1
nl_bookII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_171	   327.298348781	    98.979140622	     6.349062699
nl_bookII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_228	   328.482901897	    98.706671341	    17.443495321
nl_bookII_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0	   171.638933573	    72.385646280	     6.208416134
nl_bookII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_285	   305.519579251	    97.563005914	    27.905698638
nl_bookII_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_57	   184.222207594	    80.003961069	     8.391115340
nl_bookII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_342	   310.794538942	    97.354738814	    41.939482613
nl_bookII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_399	   279.969363320	    81.224082119	     4.438486365
nl_bookII_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_114	   187.126762279	    82.808567513	    15.457774372
nl_bookII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_456	   328.842267861	    99.293507941	     5.239368402
nl_bookII_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_171	   194.815298689	    82.707451341	    34.506018910
nl_bookII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_513	   368.131788178	   109.093389778	     6.591352017
nl_bookII_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_228	   180.499047459	    71.794414907	     6.307960601
nl_bookII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0	   296.815795156	    88.552776169	     5.834224774	 4
nl_bookII_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_285	   187.179524397	    78.207779212	    49.056058035
nl_bookI_s3	 nnk	 mi	 8	 1	 nn5kmn400s78s77s76s75s74_mi24b50r30i4u_8_0	     7.798139336	     7.344836039	    79.224374859
nl_bookII_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_342	   181.141018474	    80.243147029	    20.775342849
nl_bookIII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0	   306.823232870	    87.770228171	    31.735846404
nl_bookIII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_65	   352.722906914	   101.190771035	   464.325239332
nl_bookII_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_399	   184.803347710	    76.749730928	    25.356907604
nl_bookIII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_130	   395.043350423	   104.747690932	    23.161589007
nl_bookII_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_456	   225.036911018	    91.408368976	     6.240339161
nl_bookIII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_195	   361.124864710	   100.468000707	    33.739485044
nl_bookII_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_513	   205.740479031	    81.756690130	     4.440356407
nl_bookIII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_260	   327.563809885	    99.061163461	    58.928783535
nl_bookIII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_325	   326.162634963	    92.742806482	   163.225057780
nl_bookII_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0	   185.249872115	    77.939097464	     7.294291383	 6
nl_bookIII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_390	   313.103127305	    90.559360732	   239.452614499
nl_bookIII_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0	   193.171162097	    80.294797428	    12.600494931
nl_bookIII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_455	   330.842703032	    95.091563635	   170.161299823
nl_bookIII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_520	   341.615261257	    99.435589709	     5.073498287
nl_bookI_s3	 nnk	 ccre	 8	 1	 nn5kmn400s78s77s76s75s74_ccre24b50r1i4u_8_0	     5.782093257	     5.529722674	    61.596468870
nl_bookIII_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_65	   188.887810592	    75.311686922	   103.863797244
