nl_bookI_s3	 gnn	 ssd	 8	 1	 nnkmn2k2s_ssd50r1i4u_8_0	    0.657635	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 nnkmn2k2s_ssd50r1i4u_8_0	   0.520873	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 nnkmn2k2s_ssd50r1i4u_8_0	    0.487728	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 nnkmn2k2s_ssd50r1i4u_8_0	     0.782609	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 nnkmn2k2s_ssd50r1i4u_8_0	   0.678804	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 nnkdt2k2s_ssd50r1i4u_8_0	   0.311882	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 nnkdt2k2s_ssd50r1i4u_8_0	   0.356626	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 nnkdt2k2s_ssd50r1i4u_8_0	    0.386472	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 nnkdt2k2s_ssd50r1i4u_8_0	   0.336913	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 nnkdt2k2s_ssd50r1i4u_8_0	    0.361600	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0	     3.198670	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0	    3.234909	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0	    4.275081	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0	    4.241361	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0	    4.186491	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 fgnnkmn2k2s_ssd50r1i4u_8_0	     2.333571	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 fgnnkmn2k2s_ssd50r1i4u_8_0	    2.359413 	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 fgnnkmn2k2s_ssd50r1i4u_8_0	    1.874530	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 fgnnkmn2k2s_ssd50r1i4u_8_0	     2.131353	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 fgnnkmn2k2s_ssd50r1i4u_8_0	     2.256723	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0	    4.102056	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0	     3.487701	   106.694135869	    14.606473653
