nl_bookI_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0	  2097.227063240	   150.302567315	    76.001700166
nl_bookI_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_53	  1675.641542479	   143.583158503	    16.844464587
nl_bookI_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0	   584.300233737	   111.878635182	     0.865466058
nl_bookI_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_106	  1139.722935562	   122.841983587	    20.436927916
nl_bookI_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_159	  1367.304740217	   130.348405127	    17.339817769
nl_bookI_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_53	   648.435501135	   119.070345717	     1.033890512
nl_bookI_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_212	  1185.268253520	   132.133306571	    48.884880924
nl_bookI_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_106	   630.907621416	   115.011325047	     1.101190320
nl_bookI_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_265	  1261.143892484	   137.568818416	    20.076767531
nl_bookI_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_159	   671.645952603	   121.088410517	     1.369292053
nl_bookI_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_318	  1698.255834205	   142.560921135	    23.836619348
nl_bookI_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_212	   712.311295052	   127.159715859	     1.590953305
nl_bookI_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_371	  1406.884806955	   132.090256615	    13.906125128
nl_bookI_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_265	   829.297618042	   130.833551385	     2.153350342
nl_bookI_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_424	   919.280933517	   123.175189163	     2.666938731
nl_bookI_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_477	  1226.217459071	   121.676000857	     2.322348014
nl_bookI_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_318	   793.888725603	   125.091941568	     2.824805605
nl_bookI_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_371	   646.794924469	   115.982039108	     3.613375146
nl_bookI_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0	  1405.033241063	   134.412005408	     4.691897011	 3
nl_bookI_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_424	   418.124857551	   104.273862898	     0.606423906
nl_bookI_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_477	   797.629763125	    97.705015593	     0.068502146
nl_bookII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0	  1272.689706640	   130.216731577	     4.540412310
nl_bookI_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0	   651.138769291	   115.966635598	     0.864749947	 0
nl_bookII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_57	  1340.682435361	   131.024949606	     2.917713936
nl_bookII_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0	   781.541439720	   121.320153535	     0.476384629
nl_bookII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_114	  1110.685201438	   126.502694476	     2.523380108
nl_bookII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_171	  1076.575076220	   124.926697044	     3.582254408
nl_bookII_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_57	   770.598852510	   118.547456793	     0.509927320
nl_bookII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_228	  1138.732003631	   128.247638775	     3.484477875
nl_bookII_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_114	   862.662300149	   123.778585847	     0.698883131
nl_bookII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_285	  1074.385422278	   127.043691331	     2.086071620
nl_bookII_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_171	   762.987226764	   120.706112769	     0.837915070
nl_bookII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_342	  1348.221930020	   135.930418053	     3.479155657
nl_bookII_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_228	   791.414879483	   126.806563483	     0.917693922
nl_bookII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_399	  1571.577551736	   142.851596653	     2.142236392
nl_bookII_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_285	   694.905283900	   128.617760149	     0.508582414
nl_bookII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_456	  1324.336094422	   138.413123955	     1.793033451
nl_bookII_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_342	   640.653949155	   106.677557822	     0.699743602
nl_bookII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_513	  1218.940823334	   135.138936758	     2.936154804
nl_bookII_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_399	   815.785384906	   114.066885102	     0.524758142
