nl_bookI_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0	    14.937186151	    13.548726463	    24.166745345
nl_bookI_s3	 pf	 lscv	 8	 1	 pf500d5s0s1s2s3s4car_lscv64b50r30i5a4u_8_0	    10.247254621	     9.592909585	    40.527685793
nl_bookI_s3	 pf	 ccre	 8	 1	 pf500d5s0s1s2s3s4car_ccre16b50r30i100a1bt4u_8_0	     8.524468194	     8.093360415	    13.017183775
nl_bookI_s3	 pf	 mi	 8	 1	 pf500d5s0s1s2s3s4car_mi24b50r30i2a4u_8_0	     8.748457650	     8.275850272	     2.815662814
nl_bookI_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_53	    15.682285447	    14.226522737	    26.113931638
nl_bookI_s3	 pf	 lscv	 8	 1	 pf500d5s0s1s2s3s4car_lscv64b50r30i5a4u_8_0_init_53	    10.692557476	    10.026979290	    42.583718106
nl_bookI_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_106	    15.732730871	    14.289740776	    24.672306370
nl_bookI_s3	 pf	 ccre	 8	 1	 pf500d5s0s1s2s3s4car_ccre16b50r30i100a1bt4u_8_0_init_53	     8.329160834	     7.925181598	    71.669499315
nl_bookI_s3	 pf	 mi	 8	 1	 pf500d5s0s1s2s3s4car_mi24b50r30i2a4u_8_0_init_53	     9.603602288	     9.069067582	     5.714540583
nl_bookI_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_159	    15.374770340	    13.961458948	    12.652432458
nl_bookI_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_212	    15.737115214	    14.217361909	    27.738773979
nl_bookI_s3	 pf	 lscv	 8	 1	 pf500d5s0s1s2s3s4car_lscv64b50r30i5a4u_8_0_init_106	    10.632227984	     9.954982607	    44.525094315
