00	nl_bookI_s3         	BFGS           	 0.243515	 0.243515	 0.243515	 0.243515
00	nl_bookI_s3         	BFGS           	 0.103256	 0.103256	 0.103256	 0.103256
00	nl_bookI_s3         	BFGS           	 0.243515	 0.243515	 0.243515	 0.243515
00	nl_bookI_s3         	BFGS           	 0.243515	 0.243515	 0.243515	 0.243515
01	nl_bookII_s3        	BFGS           	 0.074277	 0.074277	 0.074277	 0.074277
01	nl_bookII_s3        	BFGS           	 0.080004	 0.080004	 0.080004	 0.080004
01	nl_bookII_s3        	BFGS           	 0.080004	 0.080004	 0.080004	 0.080004
01	nl_bookII_s3        	BFGS           	 0.099809	 0.099809	 0.099809	 0.099809
01	nl_bookII_s3        	BFGS           	 0.068967	 0.068967	 0.068967	 0.068967
01	nl_bookII_s3        	BFGS           	 0.080004	 0.080004	 0.080004	 0.080004
01	nl_bookII_s3        	BFGS           	 0.080004	 0.080004	 0.080004	 0.080004
01	nl_bookII_s3        	BFGS           	 0.080004	 0.080004	 0.080004	 0.080004
01	nl_bookII_s3        	BFGS           	 0.131870	 0.131870	 0.131870	 0.131870
01	nl_bookII_s3        	BFGS           	 0.080004	 0.080004	 0.080004	 0.080004
03	nl_bus              	BFGS           	 0.339708	 0.339708	 0.339708	 0.339708
